Date,Open*,High,Low,Close,Volume,Market Cap
24-Oct-16,0.009432,0.009485,0.009054,0.009065,1717690.00 ,334724992.00 
25-Oct-16,0.009065,0.009135,0.008882,0.008891,2780690.00 ,321684992.00 
26-Oct-16,0.008884,0.008944,0.008815,0.008835,2969280.00 ,315265984.00 
27-Oct-16,0.008833,0.008849,0.008468,0.008481,4302920.00 ,313452000.00 
28-Oct-16,0.008483,0.008492,0.008081,0.008143,3881320.00 ,301396992.00 
29-Oct-16,0.008157,0.008162,0.007674,0.007732,3471390.00 ,289835008.00 
30-Oct-16,0.007738,0.008018,0.007716,0.008014,2071780.00 ,274932000.00 
31-Oct-16,0.008014,0.008261,0.008014,0.008196,2515480.00 ,284729984.00 
1-Nov-16,0.008197,0.008259,0.008083,0.008102,1875440.00 ,291236992.00 
2-Nov-16,0.008104,0.008222,0.008088,0.008222,1739300.00 ,287948992.00 
3-Nov-16,0.008221,0.008243,0.007975,0.008021,3114110.00 ,292112000.00 
4-Nov-16,0.008015,0.008161,0.008008,0.008157,2707110.00 ,285742016.00 
5-Nov-16,0.008157,0.008261,0.008155,0.00823,967011.00 ,290784992.00 
6-Nov-16,0.00823,0.008277,0.008187,0.008193,784787.00 ,293393984.00 
7-Nov-16,0.008197,0.008197,0.008088,0.008108,2308500.00 ,292208000.00 
8-Nov-16,0.008111,0.008246,0.008108,0.008206,2477080.00 ,289161984.00 
9-Nov-16,0.008205,0.008222,0.008074,0.008079,3575540.00 ,292520000.00 
10-Nov-16,0.008081,0.008138,0.008043,0.008136,2600650.00 ,288073984.00 
11-Nov-16,0.008131,0.008146,0.008058,0.008065,2039200.00 ,290820000.00 
12-Nov-16,0.008061,0.008105,0.008019,0.008044,1708000.00 ,288307008.00 
13-Nov-16,0.008039,0.008258,0.007968,0.008257,2201990.00 ,287512000.00 
14-Nov-16,0.008255,0.008308,0.008059,0.008098,1283330.00 ,295227008.00 
15-Nov-16,0.008099,0.008115,0.007876,0.007881,3078090.00 ,289676992.00 
16-Nov-16,0.007888,0.007944,0.007842,0.007842,2905840.00 ,282110016.00 
17-Nov-16,0.007851,0.007867,0.007721,0.007727,2401030.00 ,280776000.00 
18-Nov-16,0.007722,0.007778,0.007709,0.007778,2487390.00 ,276964992.00 
19-Nov-16,0.007778,0.007809,0.007753,0.007799,1296770.00 ,278943008.00 
20-Nov-16,0.007799,0.007806,0.007626,0.007651,1875290.00 ,279728992.00 
21-Nov-16,0.007649,0.007651,0.007566,0.007566,2594010.00 ,274337984.00 
22-Nov-16,0.007567,0.007567,0.007431,0.007434,2400100.00 ,271375008.00 
23-Nov-16,0.007434,0.007435,0.007035,0.007061,3730650.00 ,266608992.00 
24-Nov-16,0.007062,0.007069,0.006945,0.00695,1845880.00 ,253280000.00 
25-Nov-16,0.006948,0.006979,0.006888,0.006902,995869.00 ,249288000.00 
26-Nov-16,0.006895,0.00739,0.006847,0.00739,560816.00 ,247374000.00 
27-Nov-16,0.007385,0.007499,0.00707,0.007074,525140.00 ,264950000.00 
28-Nov-16,0.007082,0.007114,0.006947,0.007008,1818750.00 ,254074000.00 
29-Nov-16,0.007009,0.007042,0.00678,0.00678,1551670.00 ,251466000.00 
30-Nov-16,0.006779,0.006784,0.00672,0.006723,1495310.00 ,243212992.00 
1-Dec-16,0.006723,0.006737,0.006702,0.006702,1142000.00 ,241183008.00 
2-Dec-16,0.006707,0.006906,0.006615,0.00666,1756030.00 ,241354000.00 
