id,predict
0.0,0.4623284637928009
1.0,0.4531603753566742
2.0,0.4565810561180115
3.0,0.45801013708114624
4.0,0.45437103509902954
5.0,0.45801013708114624
6.0,0.4698623716831207
7.0,0.4698623716831207
8.0,0.44680461287498474
9.0,0.40429815649986267
10.0,0.41913092136383057
11.0,0.4193233847618103
12.0,0.384188175201416
13.0,0.4623284637928009
14.0,0.4817708432674408
15.0,0.489648699760437
16.0,0.4817708432674408
17.0,0.48829585313796997
18.0,0.5183149576187134
19.0,0.5270055532455444
20.0,0.5282339453697205
21.0,0.5217001438140869
22.0,0.5772585868835449
23.0,0.5817857980728149
24.0,0.5706048607826233
25.0,0.5385874509811401
26.0,0.5431115031242371
27.0,0.5159399509429932
28.0,0.5266799926757812
29.0,0.4966936707496643
30.0,0.5705747604370117
31.0,0.5706048607826233
32.0,0.5613073110580444
33.0,0.4495699107646942
34.0,0.3261449635028839
35.0,0.31934571266174316
36.0,0.27076324820518494
37.0,0.28145071864128113
38.0,0.2816547155380249
39.0,0.2783578038215637
40.0,0.28042569756507874
41.0,0.2699071764945984
42.0,0.26412591338157654
43.0,0.2703876793384552
44.0,0.2787817418575287
45.0,0.27885720133781433
46.0,0.29201990365982056
47.0,0.30223020911216736
48.0,0.28513863682746887
49.0,0.3309817910194397
50.0,0.33607611060142517
51.0,0.340403288602829
52.0,0.3472040593624115
53.0,0.3352755904197693
54.0,0.3358912169933319
55.0,0.34554412961006165
56.0,0.3521468937397003
57.0,0.33680078387260437
58.0,0.3261449635028839
